Purchase,Date,Cost,Type,Notes,City
Oyster Card,3/19/2018,7.00,Transportation,,London
Train,3/19/2018,11.62,Transportation,Gatwick to London Bridge,London
Padlock ,3/19/2018,2.80,Misc,"Not sure since I recorded this as a combination with hostel price
",London
Hostel,3/19/2018,20.30,Housing,,London
2 pint milk,3/20/2018,1.11,Groceries,,London
Tube,3/20/2018,3.36,Transportation,London bridge to Green Park,London
Westminster Abbey,3/20/2018,30.80,Recreation,,London
Japanese Street Food,3/20/2018,7.70,Eating Out,Street Stall near Waterloo,London
Tube,3/20/2018,3.36,Transportation,Waterloo to Chalk Farm,London
Hostel,3/20/2018,24.63,Housing,Hostel One London,London
2 pint milk,3/20/2018,1.12,Groceries,,London
Power Adaptor,3/20/2018,7.00,Misc,I only brought EU adaptors,London
Street Performer,3/20/2018,1.40,Recreation,,London
Orange Juice,3/20/2018,1.40,Eating Out,"Street Stall in Camden
",London
2 pint milk,3/21/2018,1.12,Groceries,,London
15L trashbags,3/21/2018,1.40,Misc,,London
Clementine Oranges,3/21/2018,1.40,Groceries,,London
Shaving cream,3/21/2018,2.60,Toiletries,,London
Shaving Razors,3/21/2018,2.80,Toiletries,,London
Latte and Royale Eggs,3/21/2018,21.00,Eating Out,eggs benedict but with smoked salmon instead of ham,London
Tube,3/21/2018,3.36,Transportation,,London
Bus,3/21/2018,2.10,Transportation,,London
Bailey's Fish and Chips,3/21/2018,13.16,Eating Out,I'm craving fish and chips right now so badly,London
Hostel,3/21/2018,24.63,Housing,,London
Alcohol,3/21/2018,5.66,Alcohol,cider and another drink (forgot),London
Croissants/Banana/Milk,3/22/2018,4.16,Groceries,,London
Sunscreen + Toothpast,3/22/2018,11.20,Toiletries,,London
Latte,3/22/2018,3.92,Eating Out,Penny Drop,London
British Museum Donation,3/22/2018,2.50,Recreation,,London
Ben Fish and Chips,3/22/2018,14.99,Eating Out,,London
Tube,3/22/2018,4.06,Transportation,Holborn -> Bromley by bow,London
Airbnb,3/22/2018,32.54,Housing,,London
2 pint milk,3/22/2018,1.19,Groceries,,London
Tube,3/23/2018,4.06,Transportation,"Bromley by bow -> Embankment
",London
Pho,3/23/2018,5.53,Eating Out,From a western chain..it was not good pho,London
Latte,3/23/2018,4.41,Eating Out,Coffee Island (nice interior),London
British Museum Donation,3/23/2018,2.87,Recreation,,London
Hostel,3/23/2018,23.66,Housing,,London
Fish Kitchen Fish and Chips,3/23/2018,14.63,Eating Out,,London
tube,3/23/2018,2.80,Transportation,London Bridge -> Camdem Town,London
Orange Juice,3/23/2018,2.24,Eating Out,"camdem town stall
",London
Bus ticket,3/23/2018,24.49,Transportation,"Bus to Paris
",London
Pub Crawl,3/23/2018,21.00,Recreation,,London
Eggs Benedict,3/24/2018,13.30,Eating Out,,London
Latte,3/24/2018,4.06,Eating Out,,London
Tea,3/24/2018,2.87,Eating Out,,London
Bus fare,3/24/2018,2.10,Transportation,,London
Bus ticket,3/24/2018,50.26,Transportation,"Bus to Paris because I missed the first one I bought
",Paris
Croissant,3/24/2018,2.31,Groceries,,Paris
Croissant and breakfast,3/25/2018,6.50,Eating Out,,Paris
Crossant and tea,3/25/2018,3.90,Groceries,,Paris
Hostel,3/25/2018,44.04,Housing,,Paris
Pizza,3/25/2018,23.40,Eating Out,,Paris
Orange Juice,3/25/2018,3.90,Groceries,,Paris
Latte + Breakfast,3/26/2018,16.90,Eating Out,"the hood
",Paris
Metro,3/26/2018,4.94,Transportation,,Paris
Lasagna,3/26/2018,19.37,Eating Out,,Paris
AirBnB,3/26/2018,36.84,Housing,36.84,Paris
Snack,3/27/2018,2.08,Groceries,,Paris
Metro,3/27/2018,2.47,Transportation,,Paris
Latte,3/27/2018,3.90,Eating Out,,Paris
Bus to Geneva,3/27/2018,44.20,Transportation,,Paris
Croissants,3/27/2018,4.42,Groceries,,Paris
Burger King,3/27/2018,9.20,Eating Out,,Geneva
Train,3/27/2018,9.00,Transportation,,Geneva
Hostel,3/27/2018,36.24,Housing,,Geneva
Train,3/28/2018,9.81,Transportation,,Geneva
Bus,3/28/2018,3.27,Transportation,,Geneva
Ready Player One,3/28/2018,16.35,Recreation,,Geneva
Groceries,3/28/2018,19.46,Groceries,,Geneva
Bus,3/28/2018,2.18,Transportation,,Geneva
Train,3/28/2018,9.81,Transportation,,Geneva
Hostel,3/28/2018,36.24,Housing,,Geneva
train fare,3/29/2018,9.81,Transportation,9.81,Geneva
bus fare,3/29/2018,13.65,Transportation,"Geneva -> Annecy
",Annecy
machiatto,3/29/2018,3.77,Eating Out,,Annecy
coffee drink,3/29/2018,0.60,Groceries,.6,Annecy
Milk/Banana/Cookies,3/29/2018,2.91,Groceries,,Annecy
Burger + Fries,3/29/2018,13.00,Eating Out,,Annecy
Hostel,3/29/2018,31.20,Housing,,Annecy
Hostel,3/30/2018,31.20,Housing,,Annecy
Yogurt/Milk/Banana,3/30/2018,2.69,Groceries,,Annecy
Latte,3/30/2018,7.80,Eating Out,,Annecy
Lunch bagel,3/30/2018,8.97,Eating Out,,Annecy
Groceries,3/30/2018,10.52,Groceries,,Annecy
Bus ticket,3/31/2018,15.60,Transportation,"Annecy -> Lyon
",Lyon
Metro,3/31/2018,2.47,Transportation,,Lyon
Pasta,3/31/2018,9.49,Eating Out,,Lyon
Pacific Rim: Uprising,3/31/2018,15.47,Recreation,,Lyon
Nestea,3/31/2018,4.29,Groceries,,Lyon
AirBnB,3/31/2018,29.93,Housing,29.93,Lyon
Metro,4/1/2018,2.47,Transportation,,Lyon
Bus ticket,4/1/2018,50.70,Transportation,Lyon to Barcelona,Barcelona
Chaipinroska,4/1/2018,8.71,Alcohol,,Barcelona
Metro T-10,4/1/2018,13.26,Transportation,,Barcelona
Metro,4/1/2018,2.47,Transportation,,Barcelona
Hostel,4/1/2018,24.16,Housing,24.16,Barcelona
Groceries,4/2/2018,10.14,Groceries,,Barcelona
Dinner donation,4/2/2018,1.30,Eating Out,,Barcelona
Hostel,4/2/2018,24.16,Housing,24.16,Barcelona
Groceries,4/3/2018,9.59,Groceries,,Barcelona
Metro T-10,4/3/2018,13.26,Transportation,,Barcelona
Hostel,4/3/2018,24.16,Housing,24.16,Barcelona
Earphones,4/4/2018,5.07,Misc,,Barcelona
Coffee,4/4/2018,1.65,Groceries,,Barcelona
Milk and Chocolate,4/4/2018,2.08,Groceries,,Barcelona
Hostel,4/4/2018,19.71,Housing,19.71,Barcelona
Breakfast donation,4/5/2018,3.90,Eating Out,,Barcelona
Laundry,4/5/2018,9.10,Toiletries,,Barcelona
Hostel,4/5/2018,19.71,Housing,19.71,Barcelona
AirBnB,4/6/2018,34.91,Housing,34.91,Montpellier
Bus Ticket,4/6/2018,24.57,Transportation,Barcelona -> Montpellier,Montpellier
Metro,4/6/2018,4.55,Transportation,,Montpellier
Popeyes,4/6/2018,11.44,Eating Out,,Montpellier
Lotion,4/6/2018,10.16,Toiletries,,Montpellier
Earphones,4/6/2018,5.85,Misc,,Montpellier
Milk,4/6/2018,1.92,Groceries,,Montpellier
AirBnB,4/7/2018,34.91,Housing,,Montpellier
Bagel + Latte,4/7/2018,8.58,Eating Out,,Montpellier
Metro,4/7/2018,4.16,Transportation,,Montpellier
Groceries,4/7/2018,9.04,Groceries,,Montpellier
BlaBla Car,4/8/2018,26.65,Transportation,,Lyon
Metro,4/8/2018,4.16,Transportation,,Lyon
Apple Juice,4/8/2018,2.60,Eating Out,,Lyon
Metro,4/8/2018,2.47,Transportation,,Lyon
Hostel,4/8/2018,22.75,Housing,,Lyon
Milk,4/9/2018,2.60,Groceries,,Lyon
Water,4/9/2018,1.69,Groceries,,Lyon
Subway,4/9/2018,10.01,Transportation,,Lyon
Bus Ticket,4/9/2018,26.00,Transportation,1/5 of 100 euro 5 trip flixbus pass,Amsterdam
